Date : 2025-09-11 12:58:40
Directory : c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks
Total : 105 files,  23161 codes, 586 comments, 1740 blanks, all 25487 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\(dashboard)\team\permissions\page.tsx          | TypeScript JSX     |        272 |          0 |          9 |        281 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\forgot-password\page.tsx                       | TypeScript JSX     |        173 |          4 |         14 |        191 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\globals.css                                    | PostCSS            |        120 |          0 |          6 |        126 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\layout.tsx                                     | TypeScript JSX     |         36 |          0 |          3 |         39 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\page.tsx                                       | TypeScript JSX     |        542 |          9 |         25 |        576 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\reset-password\page.tsx                        | TypeScript JSX     |        340 |         14 |         29 |        383 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\signin\page.tsx                                | TypeScript JSX     |        232 |          4 |         25 |        261 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\signup\page.tsx                                | TypeScript JSX     |        442 |          8 |         31 |        481 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\app\verify-email\page.tsx                          | TypeScript JSX     |        129 |          0 |         14 |        143 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components.json                                    | JSON               |         22 |          0 |          1 |         23 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\admin-dashboard.tsx                     | TypeScript JSX     |        340 |         10 |         20 |        370 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\analytics\analytics-wrapper.tsx         | TypeScript JSX     |         44 |          1 |          9 |         54 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\analytics\page-view-tracker.tsx         | TypeScript JSX     |         52 |          3 |         10 |         65 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\examples\analytics-examples.tsx         | TypeScript JSX     |        180 |          7 |         19 |        206 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\feature-flags\ab-testing.tsx            | TypeScript JSX     |        471 |         13 |         29 |        513 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\feature-flags\advanced-feature-gate.tsx | TypeScript JSX     |        171 |         32 |         47 |        250 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\feature-flags\feature-gate.tsx          | TypeScript JSX     |         51 |          0 |         15 |         66 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\feature-flags\gradual-rollout.tsx       | TypeScript JSX     |        327 |          7 |         19 |        353 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\feature-flags\kill-switch.tsx           | TypeScript JSX     |        205 |          6 |         21 |        232 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\feature-flags\personalization.tsx       | TypeScript JSX     |        465 |         13 |         29 |        507 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\feature-flags\session-recording.tsx     | TypeScript JSX     |        496 |         14 |         32 |        542 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\feature-flags\surveys.tsx               | TypeScript JSX     |        534 |          8 |         30 |        572 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\mention-system.tsx                      | TypeScript JSX     |        118 |          0 |         12 |        130 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\navigation.tsx                          | TypeScript JSX     |        139 |          0 |         14 |        153 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\providers\posthog-provider.tsx          | TypeScript JSX     |         55 |          7 |         13 |         75 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\theme-provider.tsx                      | TypeScript JSX     |         13 |          0 |          4 |         17 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\alert-dialog.tsx                     | TypeScript JSX     |        127 |          0 |         15 |        142 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\avatar.tsx                           | TypeScript JSX     |         44 |          0 |          7 |         51 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\badge.tsx                            | TypeScript JSX     |         31 |          0 |          6 |         37 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\button.tsx                           | TypeScript JSX     |         52 |          0 |          6 |         58 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\card.tsx                             | TypeScript JSX     |         68 |          0 |          9 |         77 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\checkbox.tsx                         | TypeScript JSX     |         26 |          0 |          5 |         31 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\dialog.tsx                           | TypeScript JSX     |        109 |          0 |         14 |        123 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\dropdown-menu.tsx                    | TypeScript JSX     |        183 |          0 |         19 |        202 |
